Y,,X,Y,S
ASU 101-EEE,2195943,ASU 101-NH,ASU 101-EEE,1.0000001
ASU 140-HDA,104331,ASU 140-HNR,ASU 140-HDA,0.99999994
ASU 140-HDA,104359,ASU 340-CLS,ASU 140-HDA,0.99999994
ATE 691,202132,MET 591,ATE 691,1.0000002000000001
ATE 691,195104,MUD 591,ATE 691,1.0000002000000001
BIO 537,1757605,STP 486,BIO 537,0.7858099000000001
BIO 537,1756605,GAP 44,BIO 537,0.785553
BLE 541,1137608,SPE 502,BLE 541,0.84556806
BLE 541,1133733,TEL 703,BLE 541,0.82680297
BLE 795,1316244,ACC 695,BLE 795,0.9999998999999999
BLE 795,1322151,LSE 695,BLE 795,0.9999998999999999
BMD 598,1796896,ANB 598,BMD 598,1.0000001
BMD 598,1796462,HCI 598,BMD 598,1.0000001
BME 321,2134001,BME 322,BME 321,0.9109347
BME 321,2142810,STP 501,BME 321,0.8875535
BME 434,118528,BME 520,BME 434,0.8733877
BME 434,119291,BDE 702,BME 434,0.8618715
BME 556,281573,NEU 556,BME 556,1.0
BME 556,279055,BIO 160,BME 556,0.8835462
BME 566,308625,ALT 410,BME 566,0.8585105
BME 566,302669,BMI 501,BME 566,0.8382572
BMI 601,1285844,HCD 501,BMI 601,0.90275365
BMI 601,1282758,NUR 530,BMI 601,0.8912928
BMI 612,1351758,HSE 430,BMI 612,0.8846179
BMI 612,1350961,CSE 573,BMI 612,0.8720584000000001
BUA 294,2113381,RUS 294,BUA 294,1.0
BUA 294,2114783,FRE 194,BUA 294,1.0
BUE 191,899910,STP 191,BUE 191,1.0000002000000001
BUE 191,894686,COM 191,BUE 191,1.0000002000000001
BUE 598,970732,NUR 598,BUE 598,1.0000001
BUE 598,976531,CEN 598,BUE 598,1.0000001
BUS 591,1520021,MET 591,BUS 591,1.0000002000000001
BUS 591,1519907,SDO 591,BUS 591,1.0000001
BUS 700,1521378,SDO 500,BUS 700,0.99999976
BUS 700,1521377,BUS 799,BUS 700,0.8134639
CAP 484,870949,CEN 584,CAP 484,1.0000002000000001
CAP 484,870919,RDG 684,CAP 484,1.0000002000000001
CDE 350,1381415,SGS 303,CDE 350,0.80209196
CDE 350,1381426,SGS 340,CDE 350,0.76510835
CEL 294,457283,DAH 194,CEL 294,1.0
CEL 294,460803,FRE 294,CEL 294,1.0
CEN 799,1442638,TSS 799,CEN 799,1.0
CEN 799,1442897,BUS 799,CEN 799,1.0
CHE 569,978313,CEE 569,CHE 569,0.99999964
CHE 569,983098,ERM 402,CHE 569,0.78655076
CHE 799,1163175,MAT 799,CHE 799,1.0
CHE 799,1169431,ECD 799,CHE 799,1.0
CHI 402,2131351,BCH 462,CHI 402,0.7758503000000001
CHI 402,2127573,LAT 102,CHI 402,0.7632345
CHI 451,1446205,SLC 451,CHI 451,1.0
CHI 451,1434941,CHI 336,CHI 451,0.84802467
CHI 690,222794,UET 590,CHI 690,0.99999976
CHI 690,220970,FSE 590,CHI 690,0.99999976
CIS 790,1453163,MLS 590,CIS 790,0.99999976
CIS 790,1453760,LTC 690,CIS 790,0.99999976
CMN 590,1055319,DNP 690,CMN 590,0.99999976
CMN 590,1060019,TSS 690,CMN 590,0.99999976
COM 323,116624,SOC 364,COM 323,0.7744930999999999
COM 323,116597,SOC 270,COM 323,0.77209985
COM 498,390313,ART 498,COM 498,1.0000001
COM 498,387531,WST 498,COM 498,1.0
COM 609,614934,SOC 391,COM 609,0.9390949000000001
COM 609,613010,EDA 701,COM 609,0.9380033000000001
CON 453,1056415,EEE 488,CON 453,0.8861482
CON 453,1056218,SCM 587,CON 453,0.87745345
CON 583,1307756,SED 683,CON 583,1.0
CON 583,1312105,TSS 783,CON 583,1.0
CPP 576,753184,CPP 578,CPP 576,0.9269725000000001
CPP 576,755736,IFT 545,CPP 576,0.8716927999999999
CPY 580,2098458,APH 580,CPY 580,0.99999976
CPY 580,2108375,LSE 680,CPY 580,0.99999976
CPY 674,15720,WST 440,CPY 674,0.8600540000000001
CPY 674,7883,FAS 578,CPY 674,0.84085166
CPY 795,297278,AME 595,CPY 795,0.9999998999999999
CPY 795,300484,REL 595,CPY 795,0.9999998999999999
CRD 552,536309,CRD 569,CRD 552,0.8160719
CRD 552,538318,CSM 350,CRD 552,0.7647103
CRD 594,334977,TSS 594,CRD 594,0.9999998999999999
CRD 594,332265,HCD 594,CRD 594,0.9999998999999999
CRD 795,631305,MCE 595,CRD 795,0.9999998999999999
CRD 795,629365,POS 595,CRD 795,0.9999998999999999
CSE 445,1245613,CSE 446,CSE 445,0.9139636999999999
CSE 445,1245964,SER 200,CSE 445,0.90319943
CSE 546,1618776,CSE 572,CSE 546,0.8589091999999999
CSE 546,1620615,TMC 480,CSE 546,0.85550237
CSE 799,1962196,LSE 799,CSE 799,1.0
CSE 799,1959602,PUP 799,CSE 799,1.0
CSM 203,1892780,HHE 566,CSM 203,0.69652283
CSM 203,1890961,CSM 402,CSM 203,0.6728678000000001
CSM 335,1897739,CAP 420,CSM 335,0.765224
CSM 335,1898339,CDE 244,CSM 335,0.7602406999999999
CSM 401,1901160,MGT 300,CSM 401,0.86847067
CSM 401,1901164,MGT 320,CSM 401,0.82707167
DAH 590,127305,MTC 790,DAH 590,0.99999976
DAH 590,126694,STC 590,DAH 590,0.99999976
DCE 560,523626,DCE 660,DCE 560,0.9547646999999999
DCE 560,536479,MUP 451,DCE 560,0.86316055
DCE 563,562439,ART 543,DCE 563,0.7437589
DCE 563,560668,GAP 45,DCE 563,0.724312
DCE 661,785700,THP 527,DCE 661,0.92698383
DCE 661,786259,LDE 622,DCE 661,0.91698056
DCI 598,649812,CHE 598,DCI 598,1.0000001
DCI 598,654404,ABS 598,DCI 598,1.0000001
DNP 617,2130734,DNP 618,DNP 617,0.97030425
DNP 617,2130746,DNP 635,DNP 617,0.9016931
DNP 704,214894,NTR 503,DNP 704,0.910375
DNP 704,216402,HCD 557,DNP 704,0.90950286
DSC 484,1724640,MKT 584,DSC 484,1.0000002000000001
DSC 484,1721088,ACO 584,DSC 484,1.0000002000000001
DSC 693,1935486,MUD 593,DSC 693,1.0
DSC 693,1942514,MET 593,DSC 693,1.0
ECD 211,791966,SPE 563,ECD 211,0.86868113
ECD 211,791940,SPE 502,ECD 211,0.8520363000000001
ECD 497,926151,BUS 497,ECD 497,1.0
ECD 497,924149,HON 497,ECD 497,1.0
ECD 499,937232,HCR 499,ECD 499,0.99999994
ECD 499,942293,ARE 499,ECD 499,0.99999994
ECD 690,1093726,SED 590,ECD 690,0.99999976
ECD 690,1098314,HHE 590,ECD 690,0.99999976
ECD 780,568411,FSE 780,ECD 780,0.99999976
ECD 780,570447,BIO 580,ECD 780,0.99999976
ECN 498,2169377,ART 498,ECN 498,1.0000001
ECN 498,2163836,NUR 498,ECN 498,1.0
ECN 527,2220921,IEE 470,ECN 527,0.89755917
ECN 527,2221454,EDP 454,ECN 527,0.88922954
ECN 691,58932,MET 591,ECN 691,1.0000002000000001
ECN 691,51904,MUD 591,ECN 691,1.0000002000000001
ECN 790,233156,MCE 590,ECN 790,0.99999976
ECN 790,232888,ARS 790,ECN 790,0.99999976
ECN 795,250482,MUD 595,ECN 795,0.9999998999999999
ECN 795,251192,DAH 595,ECN 795,0.9999998999999999
EDA 773,1605065,SPE 323,EDA 773,0.86875886
EDA 773,1605236,EDP 541,EDA 773,0.81545645
EDP 652,1224319,OMT 548,EDP 652,0.9359975
EDP 652,1227092,STP 460,EDP 652,0.90679634
EDT 184,1552540,ESS 540,EDT 184,0.8850315999999999
EDT 184,1552159,SOS 540,EDT 184,0.8850315999999999
EDT 545,1660392,LSE 540,EDT 545,0.80524933
EDT 545,1660003,STC 537,EDT 545,0.80382395
EDT 563,1677456,TGM 532,EDT 563,0.7911154
EDT 563,1677131,STC 545,EDT 563,0.78201294
EED 394,118071,DAH 494,EED 394,1.0
EED 394,120181,RUS 294,EED 394,1.0
EED 594,468456,CED 594,EED 594,0.9999998999999999
EED 594,466044,JHR 594,EED 594,0.9999998999999999
EED 784,633918,HPS 784,EED 784,1.0000002000000001
EED 784,631079,ALD 584,EED 784,1.0000002000000001
EEE 360,2199505,EEE 472,EEE 360,0.89835554
EEE 360,2199496,EEE 445,EEE 360,0.89674723
EEE 435,2213607,CEN 501,EEE 435,0.86571443
EEE 435,2212269,EEE 533,EEE 435,0.83499634
EEE 459,2226747,EEE 511,EEE 459,0.88594055
EEE 459,2226742,EEE 505,EEE 459,0.84402895
EEE 573,15115,EEE 643,EEE 573,0.8570061
EEE 573,16794,MET 432,EEE 573,0.8539034
EGR 306,1778258,EGR 316,EGR 306,0.8641134
EGR 306,1792166,MET 460,EGR 306,0.8330248
EGR 334,1976364,EET 430,EGR 334,0.84121186
EGR 334,1987192,MET 455,EGR 334,0.83438337
EGR 431,2194156,EEE 472,EGR 431,0.89671624
EGR 431,2194135,EEE 360,EGR 431,0.8868642
ENG 229,928157,REL 361,ENG 229,0.7226424
ENG 229,933991,SLC 361,ENG 229,0.7226424
ENG 361,1419675,FMP 361,ENG 361,0.84809124
ENG 361,1415599,FMS 309,ENG 361,0.843824
ENG 498,114873,ART 498,ENG 498,1.0000001
ENG 498,112912,OGL 498,ENG 498,1.0
ENG 501,140152,POS 503,ENG 501,0.90131325
ENG 501,139783,SOC 391,ENG 501,0.89559764
ENG 581,574889,ENG 583,ENG 581,0.9009197
ENG 581,575189,BLE 397,ENG 581,0.8805544
EPD 799,1034947,MGT 799,EPD 799,1.0
EPD 799,1025346,MAE 799,EPD 799,1.0
ERM 426,1983156,SOS 434,ERM 426,0.8585144
ERM 426,1982531,BIO 434,ERM 426,0.8585144
ESS 790,1971737,EEE 590,ESS 790,0.99999976
ESS 790,1972993,RDG 590,ESS 790,0.99999976
EVO 595,252963,EED 695,EVO 595,0.9999998999999999
EVO 595,262963,LDE 695,EVO 595,0.9999998999999999
EXW 456,1849223,TWC 214,EXW 456,0.8797746999999999
EXW 456,1848777,SPE 569,EXW 456,0.8762564
FAS 331,1495350,TCL 315,FAS 331,0.8417101999999999
FAS 331,1498496,COM 411,FAS 331,0.81650126
FAS 581,2027092,CAP 325,FAS 581,0.82619405
FAS 581,2027083,CAP 120,FAS 581,0.82115877
FIN 431,1491501,ACC 502,FIN 431,0.8748507
FIN 431,1497346,TGM 524,FIN 431,0.8486818000000002
FIN 499,1649374,VTN 499,FIN 499,0.99999994
FIN 499,1645498,FOR 499,FIN 499,0.99999994
FIN 593,1875081,MUD 593,FIN 593,1.0
FIN 593,1882109,MET 593,FIN 593,1.0
FMP 300,525778,ART 437,FMP 300,0.787457
FMP 300,525315,THP 519,FMP 300,0.7765349
FRE 294,2225786,SCM 394,FRE 294,1.0
FRE 294,2225649,HON 294,FRE 294,1.0
FRE 500,3518,MTC 700,FRE 500,0.99999976
FRE 500,3510,MTC 600,FRE 500,0.99999976
FSE 498,537353,ART 498,FSE 498,1.0000001
FSE 498,533864,RUS 498,FSE 498,1.0
GCU 322,836519,GCU 332,GCU 322,0.9029309999999999
GCU 322,836518,GCU 328,GCU 322,0.84248346
GCU 595,1238538,SED 695,GCU 595,0.9999998999999999
GCU 595,1235903,EMS 595,GCU 595,0.9999998999999999
GER 445,1804021,FMS 445,GER 445,1.0000002000000001
GER 445,1808414,SLC 445,GER 445,1.0000002000000001
GIT 515,1893748,GIT 542,GIT 515,0.8614851999999998
GIT 515,1897736,SER 422,GIT 515,0.8570030000000001
GLG 591,2145457,MET 591,GLG 591,1.0000002000000001
GLG 591,2138429,MUD 591,GLG 591,1.0000002000000001
GPE 91,1574853,JPN 312,GPE 91,0.81840444
GPE 91,1574479,MCO 502,GPE 91,0.8128196999999999
GPH 511,374321,BIO 418,GPH 511,0.8081273
GPH 511,376429,LTC 343,GPH 511,0.80223584
GRK 194,1459855,BUS 394,GRK 194,0.9999998999999999
GRK 194,1459902,SGS 294,GRK 194,0.9999998999999999
GRK 221,1460380,GRK 223,GRK 221,0.7877218
GRK 221,1460390,GRK 444,GRK 221,0.7806861999999999
HCD 332,1160060,HCD 540,HCD 332,0.8739355999999999
HCD 332,1160050,HCD 502,HCD 332,0.8388565999999998
HCI 294,1366078,ART 494,HCI 294,1.0
HCI 294,1360454,DAH 194,HCI 294,1.0
HDA 593,10543,MUD 593,HDA 593,1.0
HDA 593,17571,MET 593,HDA 593,1.0
HED 606,1299082,POS 503,HED 606,0.85192555
HED 606,1297467,PUP 505,HED 606,0.8514919
HED 795,1408753,SPE 795,HED 795,0.9999998999999999
HED 795,1409472,CIS 595,HED 795,0.9999998999999999
HON 191,1515234,AIS 191,HON 191,1.0000002000000001
HON 191,1516990,GRK 191,HON 191,1.0000002000000001
HON 194,1518123,FMP 394,HON 194,1.0
HON 194,1518821,ART 494,HON 194,1.0
HSC 484,1549837,HRC 484,HSC 484,1.0000002000000001
HSC 484,1557389,PLB 584,HSC 484,1.0000002000000001
HSM 494,1082855,DAH 294,HSM 494,1.0
HSM 494,1084968,RUS 294,HSM 494,1.0
HST 114,216136,GCU 114,HST 114,1.0000001
HST 114,216135,GCU 113,HST 114,0.8638469000000001
HST 339,892504,REL 366,HST 339,1.0
HST 339,892502,REL 364,HST 339,0.9103351999999999
HST 343,938384,HST 418,HST 343,0.7413482
HST 343,938320,HST 344,HST 343,0.73820406
HST 408,1669802,AFR 363,HST 408,0.78677654
HST 408,1663678,THE 420,HST 408,0.7803918000000001
HST 416,1772186,LSC 434,HST 416,0.79270875
HST 416,1771468,GCU 676,HST 416,0.7918936
HST 692,358906,ESS 592,HST 692,0.99999994
HST 692,352714,ANB 692,HST 692,0.99999994
HST 695,368177,GTD 595,HST 695,0.9999998999999999
HST 695,371836,HPS 595,HST 695,0.9999998999999999
IAP 365,118852,IAP 466,IAP 365,0.8253027000000001
IAP 365,130054,ART 530,IAP 365,0.82294834
IAS 420,2205696,ENG 420,IAS 420,1.0000001
IAS 420,2203041,MAS 513,IAS 420,0.8689783999999999
IBC 415,2092330,IBC 612,IBC 415,0.88646483
IBC 415,2093245,NTR 503,IBC 415,0.8576684000000001
IDN 191,2278918,CDE 191,IDN 191,1.0000002000000001
IDN 191,2272766,COM 191,IDN 191,1.0000002000000001
IEE 578,1072026,SOC 508,IEE 578,0.8791084000000001
IEE 578,1072643,PSY 516,IEE 578,0.86194694
IFT 483,1671924,CIS 540,IFT 483,0.9110535
IFT 483,1668277,ACC 507,IFT 483,0.8512386999999999
INT 354,875791,MSE 482,INT 354,0.84596515
INT 354,879088,MET 341,INT 354,0.83055353
INT 516,953924,LTC 344,INT 516,0.7880943
INT 516,954054,ART 276,INT 516,0.77276516
ISS 450,1209264,SOS 301,ISS 450,0.8431163
ISS 450,1207687,CRD 301,ISS 450,0.8431163
ISS 499,1267859,STS 499,ISS 499,0.9999998999999999
ISS 499,1267606,TGM 499,ISS 499,0.9999998999999999
ISS 522,1353772,TGM 510,ISS 522,0.87076914
ISS 522,1352838,POS 486,ISS 522,0.8316376
ITA 210,803241,GAP 30,ITA 210,0.866691
ITA 210,803254,GAP 46,ITA 210,0.8588128
ITA 493,1008380,MHL 493,ITA 493,0.9999998999999999
ITA 493,1014633,HCD 493,ITA 493,0.9999998999999999
JHR 591,774680,MUD 591,JHR 591,1.0000002000000001
JHR 591,773977,CED 791,JHR 591,1.0000002000000001
JUS 437,1253537,JUS 565,JUS 437,0.98237824
JUS 437,1258848,SPE 507,JUS 437,0.81392086
JUS 468,1391822,SGS 340,JUS 468,0.86217195
JUS 468,1384253,PHI 527,JUS 468,0.81979835
KIN 493,1459050,UET 493,KIN 493,0.9999998999999999
KIN 493,1455386,REL 493,KIN 493,0.9999998999999999
KIN 799,1712577,REL 799,KIN 799,1.0
KIN 799,1718392,SLC 799,KIN 799,1.0
KOR 201,770952,BCS 101,KOR 201,0.7759394000000001
KOR 201,769840,POR 101,KOR 201,0.7659373
KOR 401,817379,SLC 457,KOR 401,0.87091875
KOR 401,815166,KOR 457,KOR 401,0.87091875
LAS 330,1138520,TCL 445,LAS 330,0.85992664
LAS 330,1138626,JMC 434,LAS 330,0.83627105
LAW 652,47171,BIO 281,LAW 652,0.73731136
LAW 652,44989,HCR 336,LAW 652,0.7212658000000001
LAW 672,1647896,SLB 523,LAW 672,0.99999976
LAW 672,1647046,CSM 407,LAW 672,0.7360696999999999
LDE 261,1310305,LDE 262,LDE 261,0.96532375
LDE 261,1310310,LDE 462,LDE 261,0.82400566
LDE 590,1320370,TSS 590,LDE 590,0.99999976
LDE 590,1320546,MUP 590,LDE 590,0.99999976
LIA 191,1005898,RUS 191,LIA 191,1.0000002000000001
LIA 191,1009571,CDE 191,LIA 191,1.0000002000000001
LIA 298,1048547,WST 298,LIA 298,1.0
LIA 298,1038677,TDM 298,LIA 298,1.0
LIS 584,113848,WST 684,LIS 584,1.0000002000000001
LIS 584,116607,ART 484,LIS 584,1.0000002000000001
LSE 593,401000,MET 593,LSE 593,1.0
LSE 593,399714,MTC 693,LSE 593,0.9999998999999999
MAE 510,361841,PHY 150,MAE 510,0.8813174000000001
MAE 510,361820,PHY 321,MAE 510,0.87595606
MAT 106,2270175,MAT 171,MAT 106,0.8456292999999999
MAT 106,2270170,MAT 117,MAT 106,0.83698654
MAT 298,262378,HCI 298,MAT 298,1.0
MAT 298,265717,HCR 298,MAT 298,1.0
MAT 461,726644,MAT 473,MAT 461,0.94365007
MAT 461,726675,MAT 578,MAT 461,0.9207393
MAT 579,1144123,EEE 550,MAT 579,0.89303917
MAT 579,1135821,PHY 315,MAT 579,0.8916533999999999
MCB 791,1177786,MET 591,MCB 791,1.0000002000000001
MCB 791,1175878,PLA 691,MCB 791,1.0000001
MCE 499,1369719,BUS 499,MCE 499,0.99999994
MCE 499,1369674,ARE 499,MCE 499,0.99999994
MCO 302,1011095,MCO 430,MCO 302,0.84579384
MCO 302,1011162,MCO 720,MCO 302,0.79849994
MCO 465,1031274,MCO 526,MCO 465,0.8752795
MCO 465,1031275,MCO 529,MCO 465,0.8540245000000001
MCO 529,1050055,MCO 540,MCO 529,0.8046081
MCO 529,1050059,MCO 550,MCO 529,0.7642139
MCO 755,1088008,CEN 792,MCO 755,0.887834
MCO 755,1087490,MCO 792,MCO 755,0.887834
MET 595,1529755,MET 598,MET 595,0.65231514
MET 595,1529756,MET 599,MET 595,0.48379120000000003
MGT 420,121078,MGT 422,MGT 420,0.8590502
MGT 420,121102,MGT 559,MGT 420,0.81810385
MGT 421,122821,TGM 489,MGT 421,0.8370614
MGT 421,122770,MGT 502,MGT 421,0.8362125
MGT 520,152881,TGM 549,MGT 520,0.8863164000000001
MGT 520,152792,MGT 545,MGT 520,0.8759110000000001
MGT 799,201737,ARE 799,MGT 799,1.0
MGT 799,201619,CDE 799,MGT 799,1.0
MIC 441,145422,CEE 567,MIC 441,0.86816347
MIC 441,145368,CEE 467,MIC 441,0.86816347
MKT 450,2013111,MCO 437,MKT 450,0.9028876
MKT 450,2013163,MCO 566,MKT 450,0.8432350000000001
MKT 690,2141597,MGT 790,MKT 690,0.99999976
MKT 690,2142203,SLC 790,MKT 690,0.99999976
MLS 584,376228,JPN 484,MLS 584,1.0000002000000001
MLS 584,375349,LSE 784,MLS 584,1.0000002000000001
MSE 519,638289,EEE 435,MSE 519,0.816566
MSE 519,638338,EEE 537,MSE 519,0.79564
MSE 555 (LAB),681505,EEE 481,MSE 555 (LAB),0.6377765999999999
MSE 555 (LAB),680128,HCD 300,MSE 555 (LAB),0.601073
MTC 422,636352,MUP 476,MTC 422,0.8411949000000001
MTC 422,635330,MTC 525,MTC 422,0.8336264000000001
MTC 516,661857,MTC 519,MTC 516,0.9400864
MTC 516,661855,MTC 517,MTC 516,0.9369091999999999
MTC 684,692317,ARS 484,MTC 684,1.0000002000000001
MTC 684,692747,ELS 784,MTC 684,1.0000002000000001
MUE 110,606425,MUE 550,MUE 110,0.87943614
MUE 110,617883,MUP 101,MUE 110,0.8675593
MUE 560,1328255,MUP 117,MUE 560,0.925982
MUE 560,1316799,MUE 562,MUE 560,0.9196418
MUE 799,1863801,COE 799,MUE 799,1.0
MUE 799,1870584,MUP 799,MUE 799,1.0
MUP 479,1488172,MUP 543,MUP 479,0.8037936999999999
MUP 479,1488145,MUP 485,MUP 479,0.77455103
MUP 549,1497139,MUP 586,MUP 549,0.7521100000000001
MUP 549,1497120,MUP 554,MUP 549,0.69180024
MUP 581,1501774,MET 501,MUP 581,0.7636823
MUP 581,1501747,MET 401,MUP 581,0.7256186
MUP 791,1508430,MET 591,MUP 791,1.0000002000000001
MUP 791,1508296,BUS 591,MUP 791,1.0000001
MUS 191,547145,MTE 191,MUS 191,1.0000002000000001
MUS 191,552571,GRK 191,MUS 191,1.0000002000000001
MUS 240,618209,MUP 543,MUS 240,0.85572934
MUS 240,611200,MUS 355,MUS 240,0.84845054
MUS 692,868514,CRD 592,MUS 692,0.99999994
MUS 692,872069,CEN 592,MUS 692,0.99999994
NAN 542,1038441,PHY 542,NAN 542,1.0
NAN 542,1036794,MAT 561,NAN 542,0.8135283
NLM 565,3677,TAM 597,NLM 565,0.86589736
NLM 565,4762,USL 496,NLM 565,0.85562676
NTR 350,2278166,SWG 603,NTR 350,0.8766215
NTR 350,2279892,PSY 582,NTR 350,0.86017025
NTR 353,2288994,SOS 353,NTR 353,1.0000001
NTR 353,2289345,SSH 370,NTR 353,0.8677634
NTR 492,40399,ART 492,NTR 492,1.0000002000000001
NTR 492,37889,SWU 492,NTR 492,1.0000002000000001
NUR 452,494439,IBC 611,NUR 452,0.90956473
NUR 452,493743,NUR 495,NUR 452,0.87790436
NUR 458,506962,IBC 602,NUR 458,0.8657265
NUR 458,506980,IBC 670,NUR 458,0.8600757
NUR 520,681275,NUR 522,NUR 520,0.9066738999999999
NUR 520,682208,HCR 221,NUR 520,0.89955556
NUR 616,840717,SOS 514,NUR 616,0.8571861999999999
NUR 616,841117,ESS 513,NUR 616,0.8396281999999999
NUR 640,881457,DNP 716,NUR 640,0.9259864
NUR 640,881454,DNP 713,NUR 640,0.90191936
NUR 670,899079,ASB 421,NUR 670,0.86881804
NUR 670,902259,SOC 421,NUR 670,0.86881804
OMT 520,1854298,MKT 502,OMT 520,0.9001644
OMT 520,1854077,CIS 340,OMT 520,0.8898016
OMT 591,1883289,MET 591,OMT 591,1.0000002000000001
OMT 591,1882649,LDE 591,OMT 591,1.0000001
OPM 484,1044520,IBC 684,OPM 484,1.0000002000000001
OPM 484,1042257,ANP 484,OPM 484,1.0000002000000001
PAF 301,1125197,SOC 510,PAF 301,0.9082846
PAF 301,1116680,FAS 510,PAF 301,0.9082846
PAF 795,52538,MIS 595,PAF 795,0.9999998999999999
PAF 795,57788,HED 695,PAF 795,0.9999998999999999
PBH 201,1038130,HCD 201,PBH 201,1.0
PBH 201,1035771,IBC 718,PBH 201,0.9174724
PHI 330,1999266,HPS 314,PHI 330,0.816315
PHI 330,1998165,BIO 517,PHI 330,0.808542
PHI 401,2116651,PHI 402,PHI 401,0.9012802
PHI 401,2116652,PHI 403,PHI 401,0.87517446
PHS 500,2089605,DAH 500,PHS 500,0.9999998999999999
PHS 500,2087774,ANB 600,PHS 500,0.99999976
PLA 194,1983700,FMP 394,PLA 194,1.0
PLA 194,1984398,ART 494,PLA 194,1.0
PLA 498,1996006,ART 498,PLA 498,1.0000001
PLA 498,1995666,SLC 498,PLA 498,1.0
PLC 191,1372844,PUP 191,PLC 191,1.0000002000000001
PLC 191,1376641,GRK 191,PLC 191,1.0000002000000001
POR 494,404216,ART 494,POR 494,1.0
POR 494,403518,FMP 394,POR 494,1.0
POS 571,719419,STS 318,POS 571,0.87862647
POS 571,719410,STS 260,POS 571,0.84842664
PRM 302,972506,NLM 302,PRM 302,1.0000001
PRM 302,978068,CRD 302,PRM 302,1.0000001
PSY 323,1234345,PSY 528,PSY 323,0.74385905
PSY 323,1235370,THP 521,PSY 323,0.7194005
PSY 434,1298122,PSY 535,PSY 434,0.9162135
PSY 434,1298115,PSY 528,PSY 434,0.8359723
PSY 499,1363142,ARE 499,PSY 499,0.99999994
PSY 499,1363258,SGS 499,PSY 499,0.99999994
PSY 502,1363355,PSY 549,PSY 502,0.8234745000000001
PSY 502,1365165,TSS 607,PSY 502,0.81426036
PSY 537,1396751,PSY 538,PSY 537,0.8858216
PSY 537,1396752,PSY 539,PSY 537,0.83398986
PSY 553,1426588,CAP 400,PSY 553,0.88841367
PSY 553,1427339,TSS 607,PSY 553,0.84688985
PUP 599,123767,MET 599,PUP 599,1.0
PUP 599,119754,TWC 599,PUP 599,1.0
QBA 592,2194967,ANB 692,QBA 592,0.99999994
QBA 592,2202524,JPN 592,QBA 592,0.99999994
QBA 799,79832,MHL 799,QBA 799,1.0
QBA 799,81172,HSE 799,QBA 799,1.0
RDG 555,1415232,MET 401,RDG 555,0.7836882
RDG 555,1415207,SGS 503,RDG 555,0.7085463000000001
RDG 690,1424208,ELS 790,RDG 690,0.99999976
RDG 690,1424416,MUP 590,RDG 690,0.99999976
REL 231,489473,JST 231,REL 231,1.0
REL 231,490565,HEB 231,REL 231,1.0
REL 330,690302,REL 331,REL 330,0.84924465
REL 330,696392,ARS 565,REL 330,0.8126639
REL 389,988705,AFR 368,REL 389,0.9999998
REL 389,987735,REL 393,REL 389,0.7776835999999999
REL 410,1057387,JST 491,REL 410,0.8321853000000001
REL 410,1057361,JST 210,REL 410,0.82487357
REL 411,1064266,JST 411,REL 411,0.99999994
REL 411,1065351,HEB 411,REL 411,0.99999994
REL 594,1290695,DAH 594,REL 594,0.9999998999999999
REL 594,1294835,PSY 594,REL 594,0.9999998999999999
ROM 494,235407,FMP 394,ROM 494,1.0
ROM 494,233997,FRE 194,ROM 494,1.0
SCM 300,1788410,SCM 479,SCM 300,0.9120991
SCM 300,1788396,SCM 303,SCM 300,0.90884405
SCM 541,1859009,MET 341,SCM 541,0.8310232
SCM 541,1857388,MGT 450,SCM 541,0.7910446
SCM 584,1869504,TGM 584,SCM 584,1.0
SCM 584,1870928,SDO 584,SCM 584,1.0
SCN 300,864047,SCN 508,SCN 300,0.8758986999999999
SCN 300,868772,ERM 201,SCN 300,0.87583154
SCN 484,1004446,IEE 784,SCN 484,1.0000002000000001
SCN 484,999275,AME 584,SCN 484,1.0000002000000001
SED 397,1729491,SED 398,SED 397,0.988265
SED 397,1729503,SED 496,SED 397,0.988265
SER 100,1942519,SER 101,SER 100,0.94655025
SER 100,1942527,SER 221,SER 100,0.8927855
SER 102,1961033,ACO 240,SER 102,0.91278327
SER 102,1959642,SER 221,SER 102,0.88873726
SER 315,2072187,ACO 331,SER 315,0.8886648000000001
SER 315,2077544,EEE 488,SER 315,0.87217283
SER 691,237986,CED 791,SER 691,1.0000002000000001
SER 691,238689,MUD 591,SER 691,1.0000002000000001
SES 191,1589977,SLC 191,SES 191,1.0000002000000001
SES 191,1584705,AST 191,SES 191,1.0000002000000001
SHS 400,1856987,BIO 400,SHS 400,1.0000001
SHS 400,1857766,PSY 400,SHS 400,1.0000001
SHS 510,2056120,SHS 518,SHS 510,0.7801719
SHS 510,2060322,DNP 646,SHS 510,0.7661063
SHS 523,2153563,DNP 710,SHS 523,0.7921902
SHS 523,2155509,HCD 570,SHS 523,0.77631396
SHS 567,2284558,EDP 536,SHS 567,0.87625074
SHS 567,2286735,PSY 528,SHS 567,0.86409223
SHS 576,24465,SPE 502,SHS 576,0.77008736
SHS 576,19723,SHS 577,SHS 576,0.76586175
SHS 780,188782,EMS 580,SHS 780,0.99999976
SHS 780,189119,MUD 580,SHS 780,0.99999976
SLC 423,952498,SLC 475,SLC 423,0.7734966
SLC 423,952496,SLC 459,SLC 423,0.6902050000000001
SLV 304,1194604,SLC 304,SLV 304,1.0
SLV 304,1195300,TSS 507,SLV 304,0.868086
SOC 334,1945032,SOS 530,SOC 334,0.8479321
