Y,,X,Y,S
CAP 320,859856,CAP 330,CAP 320,0.87000656
CAP 320,859858,CAP 342,CAP 320,0.80224186
CAP 420,868532,CDE 244,CAP 420,0.87199914
CAP 420,868486,CDE 573,CAP 420,0.78687084
CDE 294,1379227,SGS 294,CDE 294,0.9999998999999999
CDE 294,1378949,HUL 394,CDE 294,0.9999998999999999
CDE 450,1383699,CDE 570,CDE 450,0.7762095
CDE 450,1383703,CDE 576,CDE 450,0.7743689
CDE 531,1388512,CDE 533,CDE 531,0.8666896999999999
CDE 531,1388530,CDE 612,CDE 531,0.8293587
CDE 570,1390105,CDE 576,CDE 570,0.8144026999999999
CDE 570,1390117,CDE 612,CDE 570,0.7958164000000001
CED 394,1413943,DAH 294,CED 394,1.0
CED 394,1413946,DAH 494,CED 394,1.0
CED 683,1683850,RDG 783,CED 683,1.0
CED 683,1679921,EDP 683,CED 683,1.0
CHE 492,858522,ASB 492,CHE 492,1.0000002000000001
CHE 492,857791,LSC 492,CHE 492,1.0000002000000001
CHE 543,940237,MAE 581,CHE 543,0.8986573
CHE 543,941501,PHY 541,CHE 543,0.8903324
CHI 333,2002009,SLC 333,CHI 333,1.0
CHI 333,2002010,SLC 334,CHI 333,0.99572855
CHI 598,147429,EDA 598,CHI 598,1.0000001
CHI 598,144139,PSB 598,CHI 598,1.0000001
CHM 112 (LAB),446970,CHM 118,CHM 112 (LAB),0.9677995
CHM 112 (LAB),446969,CHM 117,CHM 112 (LAB),0.93109816
CHM 471,973573,CHM 571,CHM 471,0.8613261000000001
CHM 471,978660,GLG 321,CHM 471,0.86085105
CHM 544,1268857,PHY 544,CHM 544,1.0000002000000001
CHM 544,1275519,MSE 544,CHM 544,1.0000002000000001
COE 792,350131,SEC 692,COE 792,1.0000001
COE 792,353745,SOS 792,COE 792,1.0000001
COM 415,258000,TGM 460,COM 415,0.82255673
COM 415,254674,IEE 511,COM 415,0.80040586
COM 483,434563,SPE 569,COM 483,0.8789999
COM 483,436946,GPE 94,COM 483,0.8580568999999999
COM 594,559358,ARP 594,COM 594,0.9999998999999999
COM 594,560438,SPE 594,COM 594,0.9999998999999999
COM 599,584777,MET 599,COM 599,1.0
COM 599,581124,CRJ 599,COM 599,1.0
COM 604,595479,POS 503,COM 604,0.8767377000000001
COM 604,591389,COM 607,COM 604,0.86972106
COM 700,644515,DAH 500,COM 700,0.9999998999999999
COM 700,647433,GPH 500,COM 700,0.99999976
CON 241,903426,PUP 573,CON 241,0.8414226
CON 241,901790,ASM 338,CON 241,0.83835125
CON 680,1377742,NUR 680,CON 680,0.99999976
CON 680,1379556,EDP 680,CON 680,0.99999976
CPI 101,254587,GIS 531,CPI 101,0.9037194
CPI 101,262091,IEE 305,CPI 101,0.902587
CPP 484,348747,SBS 484,CPP 484,1.0000002000000001
CPP 484,349953,APL 684,CPP 484,1.0000002000000001
CRJ 230,1495955,CRJ 315,CRJ 230,0.8478924999999999
CRJ 230,1496004,CRJ 516,CRJ 230,0.8150449000000001
CRJ 284,1510967,CRJ 505,CRJ 284,0.74041474
CRJ 284,1511009,CRJ 605,CRJ 284,0.725422
CRJ 409,1581873,CRJ 527,CRJ 409,0.7742409
CRJ 409,1581900,CRJ 607,CRJ 409,0.76764065
CRJ 595,1832008,LDE 695,CRJ 595,0.9999998999999999
CRJ 595,1832467,ARE 595,CRJ 595,0.9999998999999999
CSE 335,1107860,TWC 444,CSE 335,0.8651066999999999
CSE 335,1107886,TWC 544,CSE 335,0.8651066999999999
CSE 486,1414990,SER 416,CSE 486,0.9332106
CSE 486,1416513,TMC 480,CSE 486,0.86516476
CSM 483,1910762,CSM 485,CSM 483,0.7692547
CSM 483,1911596,SLB 512,CSM 483,0.73913175
DBA 721,506014,TWC 506,DBA 721,0.9070226
DBA 721,498572,DBA 722,DBA 721,0.9050701999999999
DCE 171,1885310,DCE 670,DCE 171,0.91351175
DCE 171,1885261,DCE 370,DCE 171,0.90916574
DCE 461,246765,DCE 671,DCE 461,0.8349552
DCE 461,246823,FSH 497,DCE 461,0.7951366999999999
DCE 543,510108,MUP 319,DCE 543,0.69003916
DCE 543,509232,THP 524,DCE 543,0.68195343
DCI 690,693656,DSC 590,DCI 690,0.99999976
DCI 690,691088,APL 790,DCI 690,0.99999976
ECD 396,866900,ECD 577,ECD 396,1.0
ECD 396,866901,ECD 578,ECD 396,0.9614345999999999
ECD 406,872304,ECD 567,ECD 406,0.89318657
ECD 406,872305,ECD 576,ECD 406,0.8913668
ECN 438,2066360,ECN 503,ECN 438,0.8878995000000001
ECN 438,2074237,SGS 324,ECN 438,0.86978126
EDA 593,1493992,MET 593,EDA 593,1.0
EDA 593,1490128,SWG 693,EDA 593,0.9999998999999999
EDA 598,1504565,SWG 598,EDA 598,1.0000001
EDA 598,1507184,MTC 598,EDA 598,1.0000001
EDA 700,1580250,CDE 500,EDA 700,0.99999976
EDA 700,1576018,SED 500,EDA 700,0.99999976
EDA 702,1586397,CRD 235,EDA 702,0.8499488000000002
EDA 702,1585831,SPE 323,EDA 702,0.8428353999999999
EDS 494,2188437,RUS 294,EDS 494,1.0
EDS 494,2189843,FRE 294,EDS 494,1.0
EDT 590,1691270,JPN 590,EDT 590,0.99999976
EDT 590,1687670,RUS 590,EDT 590,0.99999976
EDT 680,1716219,MTC 780,EDT 680,0.99999976
EDT 680,1714113,GPH 680,EDT 680,0.99999976
EDT 783,1751794,PUP 583,EDT 783,1.0
EDT 783,1753972,PLA 583,EDT 783,1.0
EED 790,644548,HPS 790,EED 790,0.99999976
EED 790,641594,EDA 790,EED 790,0.99999976
EEE 304,2184865,EEE 307,EEE 304,0.9127301999999999
EEE 304,2184905,EEE 505,EEE 304,0.9029412
EEE 566,9890,EEE 631,EEE 566,0.9110652
EEE 566,9867,EEE 576,EEE 566,0.8131517
EEE 592,41975,ARS 692,EEE 592,0.99999994
EEE 592,41627,THP 592,EEE 592,0.99999994
EEE 607,56543,MET 443,EEE 607,0.7884134
EEE 607,56559,MET 514,EEE 607,0.7884134
EGR 402,2117869,SER 402,EGR 402,0.98292315
EGR 402,2115430,IFT 402,EGR 402,0.98292315
EMS 514,2200823,SOS 558,EMS 514,0.8983679
EMS 514,2200788,SOS 511,EMS 514,0.89506197
ENE 691,308929,CED 791,ENE 691,1.0000002000000001
ENE 691,316660,MET 591,ENE 691,1.0000002000000001
ENG 298,1029795,AST 298,ENG 298,1.0
ENG 298,1030890,HCR 298,ENG 298,1.0
ENG 302,1052339,PSY 553,ENG 302,0.87733716
ENG 302,1053500,SLC 510,ENG 302,0.8698796
ENG 552,467083,ENG 652,ENG 552,0.90757126
ENG 552,474724,MTC 516,ENG 552,0.82481396
ENG 591,621015,CED 791,ENG 591,1.0000002000000001
ENG 591,628746,MET 591,ENG 591,1.0000002000000001
ENG 652,779861,MTC 520,ENG 652,0.793058
ENG 652,780871,MUP 451,ENG 652,0.79304695
EPD 598,917562,APM 598,EPD 598,1.0000001
EPD 598,920587,SST 598,EPD 598,1.0000001
ERM 599,2165090,MET 599,ERM 599,1.0
ERM 599,2162595,POS 599,ERM 599,1.0
ESS 540,1930988,STP 581,ESS 540,0.90663505
ESS 540,1931458,MCO 536,ESS 540,0.8918616
ESS 799,1980847,TSS 799,ESS 799,1.0
ESS 799,1980796,ELS 799,ESS 799,1.0
EXW 344,1610237,EXW 635,EXW 344,0.89832056
EXW 344,1617071,ALD 535,EXW 344,0.89832056
EXW 538,2033615,NTR 553,EXW 538,0.8741698
EXW 538,2033597,NTR 524,EXW 538,0.8506843000000001
EXW 590,2197068,FRE 590,EXW 590,0.99999976
EXW 590,2195984,SWG 790,EXW 590,0.99999976
FAS 370,1544808,AFR 370,FAS 370,0.99999994
FAS 370,1547845,SOC 415,FAS 370,0.86953026
FAS 421,1602959,ALD 431,FAS 421,1.0
FAS 421,1602973,ALD 531,FAS 421,0.8755136999999998
FIN 191,1348267,COM 191,FIN 191,1.0000002000000001
FIN 191,1353343,TGM 191,FIN 191,1.0000002000000001
FRE 498,2319372,ART 498,FRE 498,1.0000001
FRE 498,2318029,SSH 498,FRE 498,1.0
FRE 499,639,FMP 499,FRE 499,0.99999994
FRE 499,164,HPS 499,FRE 499,0.99999994
FRE 595,30035,POS 595,FRE 595,0.9999998999999999
FRE 595,30493,SSH 695,FRE 595,0.9999998999999999
GAP 83,852548,GPE 96,GAP 83,0.87647545
GAP 83,853636,SLC 510,GAP 83,0.86550575
GCU 121,777468,ASB 311,GCU 121,0.8965396999999999
GCU 121,776021,GCU 350,GCU 121,0.8744357
GCU 474,1042179,ERM 527,GCU 474,0.75269437
GCU 474,1042172,ERM 502,GCU 474,0.7428583000000001
GCU 493,1070717,ISS 493,GCU 493,0.9999998999999999
GCU 493,1076035,HPS 493,GCU 493,0.9999998999999999
GER 446,1814540,FMS 446,GER 446,1.0
GER 446,1818933,SLC 446,GER 446,1.0
GIS 500,111146,DAH 500,GIS 500,0.9999998999999999
GIS 500,105825,MAT 500,GIS 500,0.99999976
GLG 194,1784759,DAH 494,GLG 194,1.0
GLG 194,1788275,FRE 294,GLG 194,1.0
GRK 294,1461162,MUP 294,GRK 294,0.9999998999999999
GRK 294,1461214,MUP 494,GRK 294,0.9999998999999999
GRK 302,1461868,GRK 444,GRK 302,0.60592234
GRK 302,1461864,GRK 347,GRK 302,0.5797329999999999
GSC 508,434486,JUS 467,GSC 508,0.83729243
GSC 508,437174,ISS 441,GSC 508,0.82575744
GTD 507,224772,POS 353,GTD 507,0.9134495
GTD 507,221829,GTD 509,GTD 507,0.89070636
HCD 304,1147344,HCD 340,HCD 304,0.83511066
HCD 304,1147372,HCD 520,HCD 304,0.833989
HCD 521,1254671,HCD 562,HCD 521,0.8167608000000001
HCD 521,1255752,SSH 510,HCD 521,0.81235904
HCI 425,1418547,HCI 563,HCI 425,0.87841153
HCI 425,1422115,FSE 301,HCI 425,0.86708975
HCR 494,1694052,RUS 194,HCR 494,1.0
HCR 494,1697567,ART 494,HCR 494,1.0
HCR 578,1867892,HCD 521,HCR 578,0.8693019000000001
HCR 578,1867903,HCD 562,HCR 578,0.8528708
HDA 311,2089439,NLM 403,HDA 311,0.8220989
HDA 311,2095000,CRD 403,HDA 311,0.8220989
