Year,Celsius
344, 0.06264928728342056,
345, 0.060003552585840225,
346, -0.012015415355563164,
347, 0.006977352313697338,
348, 0.07447510957717896,
349, -0.01461836602538824,
350, -0.014904577285051346,
351, -0.06041218712925911,
352, 0.03408863767981529,
353, 0.05994480848312378,
354, -0.025114422664046288,
355, 0.04524554684758186,
356, 0.05860073119401932,
357, -0.004339615348726511,
358, -0.047984831035137177,
359, 0.0033471740316599607,
360, 0.04479961469769478,
361, 0.00425364077091217,
362, 0.05425316467881203,
363, 0.013178248889744282,
364, -0.09452786296606064,
365, 0.015944363549351692,
366, -0.014616371132433414,
367, 0.01606459729373455,
368, -0.020099366083741188,
369, -0.05175090953707695,
370, 0.09873291850090027,
371, -0.054781217128038406,
372, -0.04087953269481659,
373, 0.03634994104504585,
374, 0.06742905080318451,
375, -0.0033375786151736975,
376, 0.00943886861205101,
377, 0.014031346887350082,
378, 0.02971641533076763,
379, -0.06029728800058365,
380, -0.019920622929930687,
381, 0.004117881413549185,
382, -0.04455968365073204,
383, -0.04035385325551033,
384, -0.023186784237623215,
385, -0.0235087089240551,
386, 0.056999143213033676,
387, 0.02864953689277172,
388, -0.021658239886164665,
389, -0.024413030594587326,
390, -0.05092223733663559,
391, 0.031174980103969574,
392, -0.036631885915994644,
393, -0.009303776547312737,
394, -0.06716449558734894,
395, 0.0010810792446136475,
396, -0.09549964964389801,
397, 0.05764255300164223,
398, 0.05183977633714676,
399, -0.03742126747965813,
400, 0.030124910175800323,
401, -0.05491272732615471,
402, 0.040484167635440826,
403, 0.052534494549036026,
404, 0.020801708102226257,
405, 0.014190959744155407,
406, 0.06213106960058212,
407, 0.020703822374343872,
408, -0.005099550820887089,
409, 0.02397233434021473,
410, -0.047521620988845825,
411, -0.01686539687216282,
412, 0.0008237773436121643,
413, 0.05530235543847084,
414, 0.014956639148294926,
415, 0.05935849994421005,
416, -0.05097044259309769,
417, 0.031759846955537796,
418, -0.006384954322129488,
419, -0.009347680024802685,
420, -0.06334486603736877,
421, -0.0025989587884396315,
422, -0.04543035104870796,
423, -0.02008071541786194,
424, -0.0010822572512552142,
425, 0.03498101234436035,
426, -0.04129878804087639,
427, 0.06337673217058182,
428, 0.005911180749535561,
429, -0.0159656573086977,
430, -0.059699416160583496,
431, -0.06645740568637848,
432, 0.044666290283203125,
433, -0.0707627609372139,
434, 0.029308808967471123,
435, 0.06959742307662964,
436, -0.07152943313121796,
437, 0.04492959380149841,
438, 0.027925066649913788,
439, -0.011611768044531345,
440, -0.05050685256719589,
441, 0.03594745323061943,
442, -0.022697733715176582,
443, 0.029050663113594055,
444, -0.07442150264978409,
445, 0.01884131133556366,
446, -0.054878007620573044,
447, 0.029773199930787086,
448, -0.015463287942111492,
449, -0.079105444252491,
450, -0.07846571505069733,
451, 0.07020635157823563,
452, 0.05260667949914932,
453, 0.034468792378902435,
454, 0.057179465889930725,
455, 0.009152859449386597,
456, -0.0037381956353783607,
457, 2.9571232516900636e-05,
458, 0.019775645807385445,
459, 0.003455940866842866,
460, -0.05862823873758316,
461, -0.05665936693549156,
462, -0.03951261192560196,
463, 0.00904610101133585,
464, 0.021023377776145935,
465, 0.0757770761847496,
466, 0.029514573514461517,
467, 0.02706538699567318,
468, 0.04783690348267555,
469, -0.08929954469203949,
470, 0.02492925524711609,
471, -0.1056923046708107,
472, -0.03285214677453041,
473, -0.06109383702278137,
474, 0.015953516587615013,
475, 0.06786621361970901,
476, -0.07215283811092377,
477, 0.036809660494327545,
478, 0.014993601478636265,
479, -0.06575344502925873,
480, -0.09768687933683395,
481, -0.05694171041250229,
482, -0.04753784462809563,
483, -0.05082531273365021,
484, -0.00595400296151638,
485, -0.06799452751874924,
486, 0.05122785270214081,
487, -0.015970643609762192,
488, 0.02079942636191845,
489, 0.09763181209564209,
490, 0.0529349148273468,
491, -0.04671027511358261,
492, -0.05450885370373726,
493, 0.11139789968729019,
494, -0.0029690463561564684,
495, -0.06358906626701355,
496, -0.045194439589977264,
497, -0.02184494584798813,
498, -0.02002011053264141,
499, 0.03370092436671257,
500, -0.09089960902929306,
501, -0.1095224916934967,
502, 0.030890922993421555,
503, -0.09691348671913147,
504, -0.06270173192024231,
505, 0.03676341846585274,
506, 0.03710097447037697,
507, 0.02778971940279007,
508, -0.04102812707424164,
509, 0.09143590182065964,
510, -0.00708220899105072,
511, -0.06707387417554855,
512, -0.07254378497600555
