Y,X,Y,S
CHE 492,LSC 492,CHE 492,1.0000002000000001
CHE 543,MAE 581,CHE 543,0.8986573
CHE 543,PHY 541,CHE 543,0.8903324
CHI 333,SLC 333,CHI 333,1.0
CHI 333,SLC 334,CHI 333,0.99572855
CHI 598,EDA 598,CHI 598,1.0000001
CHI 598,PSB 598,CHI 598,1.0000001
CHM 112 (LAB),CHM 118,CHM 112 (LAB),0.9677995
CHM 112 (LAB),CHM 117,CHM 112 (LAB),0.93109816
CHM 471,CHM 571,CHM 471,0.8613261000000001
CHM 471,GLG 321,CHM 471,0.86085105
CHM 544,PHY 544,CHM 544,1.0000002000000001
CHM 544,MSE 544,CHM 544,1.0000002000000001
COE 792,SEC 692,COE 792,1.0000001
COE 792,SOS 792,COE 792,1.0000001
COM 415,TGM 460,COM 415,0.82255673
COM 415,IEE 511,COM 415,0.80040586
COM 483,SPE 569,COM 483,0.8789999
COM 483,GPE 94,COM 483,0.8580568999999999
COM 594,ARP 594,COM 594,0.9999998999999999
COM 594,SPE 594,COM 594,0.9999998999999999
COM 599,MET 599,COM 599,1.0
COM 599,CRJ 599,COM 599,1.0
COM 604,POS 503,COM 604,0.8767377000000001
COM 604,COM 607,COM 604,0.86972106
COM 700,DAH 500,COM 700,0.9999998999999999
COM 700,GPH 500,COM 700,0.99999976
CON 241,PUP 573,CON 241,0.8414226
CON 241,ASM 338,CON 241,0.83835125
CON 680,NUR 680,CON 680,0.99999976
CON 680,EDP 680,CON 680,0.99999976
CPI 101,GIS 531,CPI 101,0.9037194
CPI 101,IEE 305,CPI 101,0.902587
CPP 484,SBS 484,CPP 484,1.0000002000000001
CPP 484,APL 684,CPP 484,1.0000002000000001
CRJ 230,CRJ 315,CRJ 230,0.8478924999999999
CRJ 230,CRJ 516,CRJ 230,0.8150449000000001
CRJ 284,CRJ 505,CRJ 284,0.74041474
CRJ 284,CRJ 605,CRJ 284,0.725422
CRJ 409,CRJ 527,CRJ 409,0.7742409
CRJ 409,CRJ 607,CRJ 409,0.76764065
CRJ 595,LDE 695,CRJ 595,0.9999998999999999
CRJ 595,ARE 595,CRJ 595,0.9999998999999999
CSE 335,TWC 444,CSE 335,0.8651066999999999
CSE 335,TWC 544,CSE 335,0.8651066999999999
CSE 486,SER 416,CSE 486,0.9332106
CSE 486,TMC 480,CSE 486,0.86516476
CSM 483,CSM 485,CSM 483,0.7692547
CSM 483,SLB 512,CSM 483,0.73913175
DBA 721,TWC 506,DBA 721,0.9070226
DBA 721,DBA 722,DBA 721,0.9050701999999999
DCE 171,DCE 670,DCE 171,0.91351175
DCE 171,DCE 370,DCE 171,0.90916574
DCE 461,DCE 671,DCE 461,0.8349552
DCE 461,FSH 497,DCE 461,0.7951366999999999
DCE 543,MUP 319,DCE 543,0.69003916
DCE 543,THP 524,DCE 543,0.68195343
DCI 690,DSC 590,DCI 690,0.99999976
DCI 690,APL 790,DCI 690,0.99999976
ECD 396,ECD 577,ECD 396,1.0
ECD 396,ECD 578,ECD 396,0.9614345999999999
ECD 406,ECD 567,ECD 406,0.89318657
ECD 406,ECD 576,ECD 406,0.8913668
ECN 438,ECN 503,ECN 438,0.8878995000000001
ECN 438,SGS 324,ECN 438,0.86978126
EDA 593,MET 593,EDA 593,1.0
EDA 593,SWG 693,EDA 593,0.9999998999999999
EDA 598,SWG 598,EDA 598,1.0000001
EDA 598,MTC 598,EDA 598,1.0000001
EDA 700,CDE 500,EDA 700,0.99999976
EDA 700,SED 500,EDA 700,0.99999976
EDA 702,CRD 235,EDA 702,0.8499488000000002
EDA 702,SPE 323,EDA 702,0.8428353999999999
EDS 494,RUS 294,EDS 494,1.0
EDS 494,FRE 294,EDS 494,1.0
EDT 590,JPN 590,EDT 590,0.99999976
EDT 590,RUS 590,EDT 590,0.99999976
EDT 680,MTC 780,EDT 680,0.99999976
EDT 680,GPH 680,EDT 680,0.99999976
EDT 783,PUP 583,EDT 783,1.0
EDT 783,PLA 583,EDT 783,1.0
EED 790,HPS 790,EED 790,0.99999976
EED 790,EDA 790,EED 790,0.99999976
EEE 304,EEE 307,EEE 304,0.9127301999999999
EEE 304,EEE 505,EEE 304,0.9029412
EEE 566,EEE 631,EEE 566,0.9110652
EEE 566,EEE 576,EEE 566,0.8131517
EEE 592,ARS 692,EEE 592,0.99999994
EEE 592,THP 592,EEE 592,0.99999994
EEE 607,MET 443,EEE 607,0.7884134
EEE 607,MET 514,EEE 607,0.7884134
EGR 402,SER 402,EGR 402,0.98292315
EGR 402,IFT 402,EGR 402,0.98292315
EMS 514,SOS 558,EMS 514,0.8983679
EMS 514,SOS 511,EMS 514,0.89506197
ENE 691,CED 791,ENE 691,1.0000002000000001
ENE 691,MET 591,ENE 691,1.0000002000000001
ENG 298,AST 298,ENG 298,1.0
ENG 298,HCR 298,ENG 298,1.0
ENG 302,PSY 553,ENG 302,0.87733716
ENG 302,SLC 510,ENG 302,0.8698796
ENG 552,ENG 652,ENG 552,0.90757126
ENG 552,MTC 516,ENG 552,0.82481396
ENG 591,CED 791,ENG 591,1.0000002000000001
ENG 591,MET 591,ENG 591,1.0000002000000001
ENG 652,MTC 520,ENG 652,0.793058
ENG 652,MUP 451,ENG 652,0.79304695
EPD 598,APM 598,EPD 598,1.0000001
EPD 598,SST 598,EPD 598,1.0000001
ERM 599,MET 599,ERM 599,1.0
ERM 599,POS 599,ERM 599,1.0
ESS 540,STP 581,ESS 540,0.90663505
ESS 540,MCO 536,ESS 540,0.8918616
ESS 799,TSS 799,ESS 799,1.0
ESS 799,ELS 799,ESS 799,1.0
EXW 344,EXW 635,EXW 344,0.89832056
EXW 344,ALD 535,EXW 344,0.89832056
EXW 538,NTR 553,EXW 538,0.8741698
EXW 538,NTR 524,EXW 538,0.8506843000000001
EXW 590,FRE 590,EXW 590,0.99999976
EXW 590,SWG 790,EXW 590,0.99999976
FAS 370,AFR 370,FAS 370,0.99999994
FAS 370,SOC 415,FAS 370,0.86953026
FAS 421,ALD 431,FAS 421,1.0
FAS 421,ALD 531,FAS 421,0.8755136999999998
FIN 191,COM 191,FIN 191,1.0000002000000001
FIN 191,TGM 191,FIN 191,1.0000002000000001
FRE 498,ART 498,FRE 498,1.0000001
FRE 498,SSH 498,FRE 498,1.0
FRE 499,FMP 499,FRE 499,0.99999994
FRE 499,HPS 499,FRE 499,0.99999994
FRE 595,POS 595,FRE 595,0.9999998999999999
FRE 595,SSH 695,FRE 595,0.9999998999999999
GAP 83,GPE 96,GAP 83,0.87647545
GAP 83,SLC 510,GAP 83,0.86550575
GCU 121,ASB 311,GCU 121,0.8965396999999999
GCU 121,GCU 350,GCU 121,0.8744357
GCU 474,ERM 527,GCU 474,0.75269437
GCU 474,ERM 502,GCU 474,0.7428583000000001
GCU 493,ISS 493,GCU 493,0.9999998999999999
GCU 493,HPS 493,GCU 493,0.9999998999999999
GER 446,FMS 446,GER 446,1.0
GER 446,SLC 446,GER 446,1.0
GIS 500,DAH 500,GIS 500,0.9999998999999999
GIS 500,MAT 500,GIS 500,0.99999976
GLG 194,DAH 494,GLG 194,1.0
GLG 194,FRE 294,GLG 194,1.0
GRK 294,MUP 294,GRK 294,0.9999998999999999
GRK 294,MUP 494,GRK 294,0.9999998999999999
GRK 302,GRK 444,GRK 302,0.60592234
GRK 302,GRK 347,GRK 302,0.5797329999999999
GSC 508,JUS 467,GSC 508,0.83729243
GSC 508,ISS 441,GSC 508,0.82575744
GTD 507,POS 353,GTD 507,0.9134495
GTD 507,GTD 509,GTD 507,0.89070636
HCD 304,HCD 340,HCD 304,0.83511066
HCD 304,HCD 520,HCD 304,0.833989
HCD 521,HCD 562,HCD 521,0.8167608000000001
HCD 521,SSH 510,HCD 521,0.81235904
HCI 425,HCI 563,HCI 425,0.87841153
HCI 425,FSE 301,HCI 425,0.86708975
HCR 494,RUS 194,HCR 494,1.0
HCR 494,ART 494,HCR 494,1.0
HCR 578,HCD 521,HCR 578,0.8693019000000001
HCR 578,HCD 562,HCR 578,0.8528708
HDA 311,NLM 403,HDA 311,0.8220989
HDA 311,CRD 403,HDA 311,0.8220989
HPS 584,EEE 684,HPS 584,1.0000002000000001
HPS 584,SLB 684,HPS 584,1.0000002000000001
HPS 590,MCE 790,HPS 590,0.99999976
HPS 590,CEN 790,HPS 590,0.99999976
HRC 294,RUS 194,HRC 294,1.0
HRC 294,ART 494,HRC 294,1.0
HRC 498,ART 498,HRC 498,1.0000001
HRC 498,TMC 498,HRC 498,1.0
HSD 501,POS 571,HSD 501,1.0000002000000001
HSD 501,STS 318,HSD 501,0.87862647
HSD 503,POS 573,HSD 503,1.0
HSD 503,STS 330,HSD 503,0.8797777
HSE 230,HSE 430,HSE 230,0.944017
HSE 230,OMT 548,HSE 230,0.92865276
HSM 502,IBC 630,HSM 502,0.89844286
HSM 502,HSM 506,HSM 502,0.8938687
HSM 575,IBC 540,HSM 575,0.85224825
HSM 575,HCI 561,HSM 575,0.83685446
HST 318,OMT 405,HST 318,0.7906797
HST 318,ECN 365,HST 318,0.7882621999999999
HST 351,HST 353,HST 351,0.90470624
HST 351,ARS 406,HST 351,0.8709278
HST 400,ENG 427,HST 400,0.8216555
HST 400,ENG 430,HST 400,0.8216555
HST 407,POS 442,HST 407,0.86120296
HST 407,HST 424,HST 407,0.8263155000000001
HST 418,TCL 331,HST 418,0.7969807
HST 418,HST 447,HST 418,0.78503585
HST 502,HST 643,HST 502,0.8317934000000001
HST 502,HST 641,HST 502,0.8301636
HST 790,ECD 790,HST 790,0.99999976
HST 790,CRD 590,HST 790,0.99999976
HUD 361,HUD 363,HUD 361,1.0000002000000001
HUD 361,INT 446,HUD 361,0.85162604
HUM 599,MET 599,HUM 599,1.0
HUM 599,JUS 599,HUM 599,1.0
IAP 375,AME 531,IAP 375,0.9200642
IAP 375,ART 529,IAP 375,0.91154987
IAP 394,DAH 294,IAP 394,1.0
IAP 394,FRE 294,IAP 394,1.0
IAS 401,REL 401,IAS 401,1.0000002000000001
IAS 401,REL 502,IAS 401,0.84010696
IBC 716,CIS 560,IBC 716,0.80922055
IBC 716,HCD 405,IBC 716,0.80764836
IEE 494,RUS 294,IEE 494,1.0
IEE 494,FMP 394,IEE 494,1.0
JMC 437,ART 408,JMC 437,0.8264481
JMC 437,JMC 475,JMC 437,0.8230046
JPN 301,JPN 315,JPN 301,0.8534617
JPN 301,JPN 585,JPN 301,0.8155453
JPN 415,GRK 221,JPN 415,0.7807714
JPN 415,GRK 201,JPN 415,0.7475705
JST 230,JST 491,JST 230,0.85937905
JST 230,HEB 411,JST 230,0.8446009
JUS 194,DAH 494,JUS 194,1.0
JUS 194,ART 494,JUS 194,1.0
JUS 375,SWU 171,JUS 375,0.85709345
JUS 375,WST 472,JUS 375,0.83048415
JUS 422,WST 422,JUS 422,0.9999998999999999
JUS 422,JUS 560,JUS 422,0.86215395
JUS 560,SOC 264,JUS 560,0.8634259
JUS 560,WST 422,JUS 560,0.8621540000000001
KIN 348,KIN 520,KIN 348,0.82640755
KIN 348,KIN 530,KIN 348,0.8084886
KIN 400,BIO 400,KIN 400,1.0000001
KIN 400,SHS 400,KIN 400,1.0000001
KIN 441,KIN 531,KIN 441,1.0000004
KIN 441,KIN 443,KIN 441,0.71036315
KOR 313,JPN 301,KOR 313,0.8495954
KOR 313,JPN 201,KOR 313,0.81363106
LAW 315,LAW 614,LAW 315,0.83802515
LAW 315,SOC 443,LAW 315,0.80946183
LAW 607,STS 331,LAW 607,0.8493499
LAW 607,BIO 610,LAW 607,0.8029149999999999
LAW 718,PUP 718,LAW 718,0.99999994
LAW 718,AIS 522,LAW 718,0.8320122999999999
LAW 720,AIS 380,LAW 720,0.64320666
LAW 720,LES 581,LAW 720,0.60617125
LIN 521,BLE 324,LIN 521,0.91263044
LIN 521,ENG 582,LIN 521,0.8896045
LIN 591,CED 791,LIN 591,1.0000002000000001
LIN 591,MET 591,LIN 591,1.0000002000000001
LIN 795,QBA 695,LIN 795,0.9999998999999999
LIN 795,ARS 695,LIN 795,0.9999998999999999
LIS 598,BME 598,LIS 598,1.0000001
LIS 598,FSE 598,LIS 598,1.0000001
LNP 598,SWG 598,LNP 598,1.0000001
LNP 598,PLA 598,LNP 598,1.0000001
LPH 592,CRD 592,LPH 592,0.99999994
LPH 592,CEE 692,LPH 592,0.99999994
LSC 430,ERM 503,LSC 430,0.8376169
LSC 430,ERM 406,LSC 430,0.819166
LTC 344,LDE 262,LTC 344,0.8685278000000001
LTC 344,LDE 261,LTC 344,0.8189305
MAE 213,CEE 526,MAE 213,0.8675177
MAE 213,MAE 527,MAE 213,0.8675177
MAE 536,MEE 491,MAE 536,0.9094119
MAE 536,MET 432,MAE 536,0.8864540999999999
MAS 500,DAH 500,MAS 500,0.9999998999999999
MAS 500,THP 500,MAS 500,0.99999976
MAS 591,MUD 591,MAS 591,1.0000002000000001
MAS 591,MET 591,MAS 591,1.0000002000000001
MAT 272,PHY 302,MAT 272,0.9167436
MAT 272,MAT 362,MAT 272,0.8936379000000001
MAT 443,EEE 550,MAT 443,0.8596381
MAT 443,MAT 571,MAT 443,0.8323647
MAT 444,MAT 544,MAT 444,0.90455574
MAT 444,MAT 473,MAT 444,0.8698511
MCE 784,CDE 584,MCE 784,1.0000002000000001
MCE 784,ARE 784,MCE 784,1.0000002000000001
MCO 430,TSS 503,MCO 430,0.8271129
MCO 430,MCO 512,MCO 430,0.8244439
MDC 211,MDC 411,MDC 211,0.80417466
MDC 211,MDC 511,MDC 211,0.80417466
MDC 511,MTC 436,MDC 511,0.8713635000000001
MDC 511,ART 438,MDC 511,0.8413943000000002
MED 484,PLB 784,MED 484,1.0000002000000001
MED 484,CIS 584,MED 484,1.0000002000000001
MGT 795,BUS 795,MGT 795,0.9999998999999999
MGT 795,LDE 695,MGT 795,0.9999998999999999
MIC 294,FMP 394,MIC 294,1.0
MIC 294,FRE 294,MIC 294,1.0
MIC 591,MET 591,MIC 591,1.0000002000000001
MIC 591,CED 791,MIC 591,1.0000002000000001
MIS 401,MIS 402,MIS 401,0.9944213
MIS 401,AMT 495,MIS 401,0.7915274
MIS 493,SSH 493,MIS 493,0.9999998999999999
MIS 493,RUS 493,MIS 493,0.9999998999999999
MLS 501,SLC 465,MLS 501,0.7118288
MLS 501,CAP 220,MLS 501,0.7051196
MND 101,MND 102,MND 101,0.9798584000000001
MND 101,MND 201,MND 101,0.9746324000000001
MSE 194,FRE 294,MSE 194,1.0
MSE 194,FMP 394,MSE 194,1.0
MSE 420,MSE 514,MSE 420,0.99871993
MSE 420,MSE 470,MSE 420,0.8821144000000001
MTC 519,MTC 540,MTC 519,0.8147571
MTC 519,MUP 451,MTC 519,0.81434727
MTE 181,SED 560,MTE 181,0.87493217
MTE 181,EDP 502,MTE 181,0.86684763
MUE 501,MUE 573,MUE 501,0.87992823
MUE 501,MUE 574,MUE 501,0.86616814
MUP 453,MUP 454,MUP 453,0.7839589
MUP 453,MUP 587,MUP 453,0.7826078000000001
MUP 482,MUP 508,MUP 482,0.82589257
MUP 482,MUP 540,MUP 482,0.8148558000000001
NLM 302,CRD 302,NLM 302,1.0000001
NLM 302,HCR 571,NLM 302,0.83168083
NLM 484,GCU 484,NLM 484,1.0000002000000001
NLM 484,HCD 484,NLM 484,1.0000002000000001
NLM 540,EDA 772,NLM 540,0.87817913
NLM 540,EDA 572,NLM 540,0.8674293
NTR 450,NTR 550,NTR 450,0.9507597
NTR 450,NTR 510,NTR 450,0.79704267
NTR 535,NTR 557,NTR 535,0.8114252
NTR 535,HCD 563,NTR 535,0.7932569
NTR 546,NTR 553,NTR 546,0.85812616
NTR 546,NTR 550,NTR 546,0.8010883000000001
NUR 312,NUR 464,NUR 312,0.93042666
NUR 312,NUR 444,NUR 312,0.88828474
NUR 440,DNP 679,NUR 440,0.92974967
NUR 440,NUR 609,NUR 440,0.8952454
NUR 531,DNP 609,NUR 531,0.9278605
NUR 531,NUR 607,NUR 531,0.90985644
NUR 591,MET 591,NUR 591,1.0000002000000001
NUR 591,MSE 791,NUR 591,1.0000001
PAF 593,MUD 593,PAF 593,1.0
PAF 593,MET 593,PAF 593,1.0
PHI 331,ASB 480,PHI 331,0.88614863
PHI 331,COE 503,PHI 331,0.8126104000000001
PHI 439,PHI 530,PHI 439,0.80404484
PHI 439,COM 321,PHI 439,0.8002832
PHI 799,CDE 799,PHI 799,1.0
PHI 799,HPS 799,PHI 799,1.0
PHL 394,FMP 394,PHL 394,1.0
PHL 394,FRE 294,PHL 394,1.0
PHL 480,STS 480,PHL 480,1.0
PHL 480,CMN 557,PHL 480,0.7997159
PHY 101,ASC 315,PHY 101,0.8275306
PHY 101,MTE 301,PHY 101,0.82668966
PHY 576,EEE 586,PHY 576,0.88287556
PHY 576,EEE 643,PHY 576,0.86032504
POR 101,BCS 101,POR 101,0.88061714
POR 101,BCS 201,POR 101,0.8457178
POS 447,SLC 455,POS 447,0.8105173000000001
POS 447,SGS 377,POS 447,0.7922701999999999
PPE 565,PPE 570,PPE 565,0.8505068000000001
PPE 565,PPE 568,PPE 565,0.844024
PPE 593,LSE 683,PPE 593,0.92956465
PPE 593,SLB 511,PPE 593,0.7526366999999999
PRM 470,SCN 309,PRM 470,0.82342386
PRM 470,SCN 209,PRM 470,0.82342386
PRM 486,OGL 350,PRM 486,0.7680251
PRM 486,BIS 350,PRM 486,0.7680251
PSY 306,PSY 341,PSY 306,0.8838663
PSY 306,PSY 550,PSY 306,0.8765550999999999
PSY 370,PSY 572,PSY 370,0.8636836999999999
PSY 370,PSY 582,PSY 370,0.86073184
PSY 440,MGT 300,PSY 440,0.82693887
PSY 440,MGT 422,PSY 440,0.81292045
PSY 441,PSY 541,PSY 441,0.9106434999999999
PSY 441,CDE 533,PSY 441,0.8564763000000001
PSY 784,EEE 684,PSY 784,1.0000002000000001
PSY 784,RDG 584,PSY 784,1.0000002000000001
PUP 425,PUP 525,PUP 425,0.99999964
PUP 425,PUP 642,PUP 425,0.88894665
PUP 452,PUP 571,PUP 452,0.8825818999999999
PUP 452,PUP 548,PUP 452,0.8561443999999999
RED 509,TAM 521,RED 509,0.9103538000000001
RED 509,TGM 511,RED 509,0.8573346
REL 300,REL 459,REL 300,0.7483118000000001
REL 300,REL 307,REL 300,0.73800075
RUS 493,ARS 493,RUS 493,0.9999998999999999
RUS 493,MTC 493,RUS 493,0.9999998999999999
SCN 209,SCN 309,SCN 209,1.0000002000000001
SCN 209,SCN 509,SCN 209,1.0000002000000001
SED 398,SED 496,SED 398,0.99999976
SED 398,SED 576,SED 398,0.99999976
SED 792,PUP 792,SED 792,1.0000001
SED 792,EEE 792,SED 792,1.0000001
SEM 494,FRE 294,SEM 494,1.0
SEM 494,FRE 194,SEM 494,1.0
SEM 700,PLA 500,SEM 700,0.99999976
SEM 700,ADE 500,SEM 700,0.99999976
SER 221,ACO 240,SER 221,0.89802575
SER 221,IEE 574,SER 221,0.8830899999999999
SES 128 (LAB),AST 421,SES 128 (LAB),0.8129333000000001
SES 128 (LAB),SES 502,SES 128 (LAB),0.7714858
SES 499,LDE 499,SES 499,0.9999998999999999
SES 499,STS 499,SES 499,0.9999998999999999
SGS 325,SGS 370,SGS 325,0.81500226
SGS 325,SGS 502,SGS 325,0.78535926
SLB 510,SLB 512,SLB 510,0.8088702
